ITEM: TIMESTEP
26200
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1034440479022237e+01 2.1034440479022237e+01
-1.1245775088204779e+01 1.1245775088204779e+01
-1.1245775088204779e+01 1.1245775088204779e+01
ITEM: ENTRIES index c_dphi
112 -27.1364 
113 -153.081 
114 -161.501 
115 84.3434 
116 -41.601 
ITEM: TIMESTEP
26500
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1034440479022237e+01 2.1034440479022237e+01
-1.1245775088204779e+01 1.1245775088204779e+01
-1.1245775088204779e+01 1.1245775088204779e+01
ITEM: ENTRIES index c_dphi
1 138.707 
2 -108.183 
3 20.3373 
4 -86.1465 
5 157.872 
6 35.1402 
7 -77.3367 
8 159.932 
9 38.6452 
10 36.0001 
11 -86.7313 
12 151.982 
13 -171.031 
14 67.9496 
15 -49.4944 
16 -34.0146 
17 -148.791 
18 81.6231 
19 -33.1536 
20 -159.014 
21 86.2097 
22 -5.16193 
23 119.176 
24 -29.026 
25 -153.923 
26 88.5865 
27 92.3734 
28 -34.9221 
29 -148.001 
30 90.6627 
31 86.4104 
32 -31.9045 
33 -150.109 
34 -158.274 
35 83.4114 
36 -34.7936 
37 -32.8175 
38 -151.132 
39 161.606 
40 40.8541 
41 -80.6378 
42 167.547 
43 46.0552 
44 -71.7012 
45 -67.1815 
46 171.327 
47 53.5703 
48 -164.207 
49 -40.8598 
50 76.0863 
51 -113.481 
52 124.208 
53 8.01234 
54 -173.475 
55 -46.795 
56 72.9107 
57 153.231 
58 30.8319 
59 -85.1569 
60 152.16 
61 36.1711 
62 -85.4406 
63 -86.2297 
64 157.781 
65 36.1698 
66 145.095 
67 -96.6809 
68 22.5546 
69 135.968 
70 12.7275 
71 -105.17 
72 -160.685 
73 -35.1201 
74 80.4821 
75 -117.001 
76 116.018 
77 -1.98116 
78 -128.041 
79 113.96 
80 -1.05911 
81 -13.0542 
82 -131.053 
83 113.928 
84 -176.885 
85 62.4468 
86 -53.182 
87 111.049 
88 -14.3143 
89 -135.104 
90 170.577 
91 50.7981 
92 -71.2853 
93 179.961 
94 57.878 
95 -60.2601 
96 -62.6682 
97 175.248 
98 57.1103 
99 -173.346 
